event_id,transaction_id,event_type,event_ts,ingestion_ts,processing_ms
E2000317,T2000115,SETTLED,2026-10-01 10:12:13,2026-10-01 10:12:17,1844
E2000296,T2000108,AUTHORIZED,2026-10-01 23:40:19,2026-10-01 23:40:29,356
E2000075,T2000028,CREATED,2026-10-01 19:37:59,2026-10-01 19:38:02,730
E2000088,T2000033,CREATED,2026-10-01 19:06:07,2026-10-01 19:06:10,1944
E2000286,T2000104,AUTHORIZED,2026-10-01 17:43:44,2026-10-01 17:43:45,1968
E2000056,T2000021,CREATED,2026-10-01 21:08:37,2026-10-01 21:08:41,1153
E2000072,T2000027,CREATED,2026-10-01 22:43:01,2026-10-01 22:43:06,1596
E2000279,T2000102,CREATED,2026-10-01 10:53:00,2026-10-01 10:53:02,249
E2000314,T2000114,SETTLED,2026-10-01 19:44:57,2026-10-01 19:45:05,267
E2000271,T2000099,CREATED,2026-10-01 19:07:27,2026-10-01 19:07:31,2174
E2000276,T2000101,CREATED,2026-10-01 07:53:42,2026-10-01 07:53:50,1518
E2000100,T2000037,CREATED,2026-10-01 14:43:50,2026-10-01 14:43:52,1505
E2000114,T2000042,CREATED,2026-10-01 11:00:36,2026-10-01 11:00:42,1656
E2000218,T2000079,AUTHORIZED,2026-10-01 10:53:15,2026-10-01 10:53:21,2376
E2000164,T2000059,SETTLED,2026-10-01 18:56:33,2026-10-01 18:56:42,65
E2000298,T2000109,CREATED,2026-10-01 19:15:17,2026-10-01 19:15:21,338
E2000187,T2000068,CREATED,2026-10-01 09:22:55,2026-10-01 09:23:05,52
E2000330,T2000120,CREATED,2026-10-01 13:54:05,2026-10-01 13:54:13,1893
E2000055,T2000020,FAILED,2026-10-01 11:57:37,2026-10-01 11:57:45,1461
E2000249,T2000090,FAILED,2026-10-01 12:23:01,2026-10-01 12:23:02,1685
E2000221,T2000080,AUTHORIZED,2026-10-01 12:39:38,2026-10-01 12:39:47,1908
E2000302,T2000110,SETTLED,2026-10-01 13:33:56,2026-10-01 13:34:04,527
E2000107,T2000039,FAILED,2026-10-01 13:34:46,2026-10-01 13:34:49,343
E2000175,T2000063,SETTLED,2026-10-01 11:53:43,2026-10-01 12:37:43,2276
E2000083,T2000031,CREATED,2026-10-01 09:44:44,2026-10-01 09:44:48,1178
E2000015,T2000005,SETTLED,2026-10-01 20:45:08,2026-10-01 20:45:15,391
E1000001,T1000001,CREATED,2026-09-01 19:58:53,2026-09-01 19:58:59,2351
E2000195,T2000071,AUTHORIZED,2026-10-01 13:01:02,2026-10-01 13:01:10,960
E2000096,T2000035,SETTLED,2026-10-01 18:16:04,2026-10-01 18:16:05,1431
E2000205,T2000074,SETTLED,2026-10-01 20:52:04,2026-10-01 20:52:08,1840
