settlement_id,transaction_id,settlement_ts,settlement_amount,settlement_status,settlement_batch
S2000001,T2000001,2026-10-01 11:12:53,18453.12,SETTLED,SB20261001AM
S2000002,T2000002,2026-10-01 14:49:33,2378.87,SETTLED,SB20261001PM
S2000003,T2000003,2026-10-01 19:26:34,2422.98,SETTLED,SB20261001PM
S2000004,T2000003,2026-10-01 19:30:34,605.75,SETTLED,SB20261001PM
S2000005,T2000004,2026-10-01 09:30:08,1326.20,SETTLED,SB20261001AM
S2000006,T2000005,2026-10-01 20:45:08,39871.20,SETTLED,SB20261001PM
S2000007,T2000006,2026-10-01 16:31:51,39599.02,SETTLED,SB20261001PM
S2000008,T2000007,2026-10-01 19:11:43,1372.28,SETTLED,SB20261001PM
S2000009,T2000008,2026-10-01 13:01:16,3341.90,SETTLED,SB20261001PM
S2000010,T2000009,2026-10-01 08:21:50,85678.13,SETTLED,SB20261001AM
S2000011,T2000010,2026-10-01 14:48:07,1506.66,SETTLED,SB20261001PM
S2000012,T2000010,2026-10-01 14:52:07,376.67,SETTLED,SB20261001PM
S2000013,T2000011,2026-10-01 10:54:48,2090.40,SETTLED,SB20261001AM
S2000014,T2000013,2026-10-01 18:59:24,783.69,SETTLED,SB20261001PM
S2000015,T2000015,2026-10-01 08:30:37,5941.04,SETTLED,SB20261001AM
S2000016,T2000016,2026-10-01 10:49:17,11427.13,SETTLED,SB20261001AM
S2000017,T2000017,2026-10-01 13:03:34,42484.26,SETTLED,SB20261001PM
S2000018,T2000021,2026-10-01 21:28:37,2969.04,SETTLED,SB20261001PM
S2000019,T2000022,2026-10-01 14:37:10,5605.69,SETTLED,SB20261001PM
S2000020,T2000023,2026-10-01 17:30:24,1439.70,SETTLED,SB20261001PM
S2000021,T2000026,2026-10-01 16:10:29,14086.96,SETTLED,SB20261001PM
S2000022,T2000027,2026-10-01 23:04:01,6719.01,SETTLED,SB20261001PM
S2000023,T2000028,2026-10-01 19:45:59,11232.82,SETTLED,SB20261001PM
S2000024,T2000029,2026-10-01 18:27:54,4251.71,SETTLED,SB20261001PM
S2000025,T2000029,2026-10-01 18:31:54,1062.93,SETTLED,SB20261001PM
S2000026,T2000031,2026-10-01 10:08:44,232.12,SETTLED,SB20261001AM
S2000027,T2000033,2026-10-01 19:17:07,14533.44,SETTLED,SB20261001PM
S2000028,T2000034,2026-10-02 00:17:18,4317.86,SETTLED,SB20261002AM
S2000029,T2000035,2026-10-01 18:16:04,1420.68,SETTLED,SB20261001PM
S2000030,T2000036,2026-10-01 19:07:22,2771.52,SETTLED,SB20261001PM
S2000031,T2000037,2026-10-01 14:46:50,562.11,SETTLED,SB20261001PM
S2000032,T2000038,2026-10-01 21:09:12,3331.63,SETTLED,SB20261001PM
S2000033,T2000040,2026-10-01 13:15:03,943.55,SETTLED,SB20261001PM
S2000034,T2000041,2026-10-01 21:17:25,3166.08,SETTLED,SB20261001PM
S2000035,T2000042,2026-10-01 13:39:36,26391.05,SETTLED,SB20261001PM
S2000036,T2000043,2026-10-01 13:16:31,2287.90,SETTLED,SB20261001PM
S2000037,T2000044,2026-10-01 12:26:05,3431.20,PENDING,SB20261001PM
S2000038,T2000045,2026-10-01 10:31:36,2699.56,SETTLED,SB20261001AM
S2000039,T2000046,2026-10-01 12:11:39,4627.64,SETTLED,SB20261001PM
S2000040,T2000047,2026-10-01 08:50:08,3454.29,SETTLED,SB20261001AM
S2000041,T2000048,2026-10-01 10:37:20,726.02,SETTLED,SB20261001AM
S2000042,T2000049,2026-10-01 15:30:01,25540.42,SETTLED,SB20261001PM
S2000043,T2000049,2026-10-01 15:34:01,6385.11,SETTLED,SB20261001PM
S2000044,T2000050,2026-10-01 21:13:45,530.09,SETTLED,SB20261001PM
S2000045,T2000051,2026-10-01 18:04:46,5674.82,SETTLED,SB20261001PM
S2000046,T2000052,2026-10-01 18:43:13,4082.67,SETTLED,SB20261001PM
S2000047,T2000055,2026-10-01 12:20:33,37628.74,SETTLED,SB20261001PM
S2000048,T2000055,2026-10-01 12:24:33,9407.19,SETTLED,SB20261001PM
S2000049,T2000056,2026-10-01 10:35:48,2000.60,SETTLED,SB20261001AM
S2000050,T2000057,2026-10-01 18:50:58,4820.60,SETTLED,SB20261001PM
S2000051,T2000058,2026-10-01 11:49:52,45407.28,SETTLED,SB20261001AM
S2000052,T2000059,2026-10-01 18:56:33,1527.63,SETTLED,SB20261001PM
S2000053,T2000061,2026-10-01 12:03:31,1569.34,SETTLED,SB20261001PM
S2000054,T2000062,2026-10-01 21:40:53,1949.91,SETTLED,SB20261001PM
S2000055,T2000063,2026-10-01 11:53:43,2258.51,SETTLED,SB20261001AM
S2000056,T2000064,2026-10-01 13:40:28,34971.80,SETTLED,SB20261001PM
S2000057,T2000065,2026-10-01 22:08:08,761.86,SETTLED,SB20261001PM
S2000058,T2000066,2026-10-01 15:03:50,3195.16,SETTLED,SB20261001PM
S2000059,T2000069,2026-10-01 15:43:00,68649.92,SETTLED,SB20261001PM
S2000060,T2000071,2026-10-01 13:07:01,18902.79,SETTLED,SB20261001PM
S2000061,T2000072,2026-10-01 18:59:26,1602.14,SETTLED,SB20261001PM
S2000062,T2000073,2026-10-01 12:10:17,389.23,SETTLED,SB20261001PM
S2000063,T2000074,2026-10-01 20:52:04,2391.77,SETTLED,SB20261001PM
S2000064,T2000076,2026-10-01 08:51:36,148.51,SETTLED,SB20261001AM
