transaction_id,merchant_id,customer_id,transaction_ts,amount,currency,status,payment_channel
T2000001,M109,C02390,2026-10-01 11:08:53,18453.12,INR,SUCCESS,ONLINE
T2000002,M102,C00328,2026-10-01 14:44:33,2378.87,INR,SUCCESS,QR
T2000003,M105,C02030,2026-10-01 19:10:34,3028.73,INR,SUCCESS,POS
T2000004,M104,C02374,2026-10-01 07:14:08,1326.20,INR,SUCCESS,QR
T2000005,M112,C01126,2026-10-01 20:41:08,39871.20,INR,SUCCESS,ONLINE
T2000006,M109,C02685,2026-10-01 16:06:51,39599.02,INR,SUCCESS,ONLINE
T2000007,M116,C00079,2026-10-01 18:54:43,1372.28,INR,SUCCESS,ONLINE
T2000008,M111,C00692,2026-10-01 12:36:16,3341.90,INR,SUCCESS,ONLINE
T2000009,M101,C01620,2026-10-01 08:08:50,85678.13,INR,SUCCESS,ONLINE
T2000010,M122,C00945,2026-10-01 14:23:07,1883.33,INR,SUCCESS,ONLINE
T2000011,M105,C00602,2026-10-01 10:38:48,2090.40,INR,SUCCESS,ONLINE
T2000012,M117,C01254,2026-10-01 08:37:49,12943.95,INR,FAILED,POS
T2000013,M122,C00526,2026-10-01 18:37:24,783.69,INR,SUCCESS,POS
T2000014,M100,C02794,2026-10-01 18:34:18,813.71,INR,FAILED,QR
T2000015,M124,C02904,2026-10-01 08:23:37,5941.04,INR,SUCCESS,POS
T2000016,M118,C00199,2026-10-01 10:34:17,11427.13,INR,SUCCESS,QR
T2000017,M119,C00940,2026-10-01 12:55:34,42484.26,INR,SUCCESS,ONLINE
T2000018,M108,C00346,2026-10-01 21:35:31,9793.55,INR,FAILED,QR
T2000019,M111,C01083,2026-10-01 10:04:28,3223.96,INR,FAILED,POS
T2000020,M124,C01884,2026-10-01 11:57:17,2106.47,INR,FAILED,ONLINE
T2000021,M122,C02031,2026-10-01 21:08:37,2969.04,INR,SUCCESS,QR
T2000022,M110,C00268,2026-10-01 12:17:10,5605.69,INR,SUCCESS,ONLINE
T2000023,M113,C00543,2026-10-01 17:17:24,1439.70,INR,SUCCESS,POS
T2000024,M102,C00125,2026-10-01 18:01:14,2623.18,INR,REVERSED,ONLINE
T2000025,M107,C01192,2026-10-01 13:38:07,8380.31,INR,REVERSED,QR
T2000026,M110,C02833,2026-10-01 13:19:29,14086.96,INR,SUCCESS,QR
T2000027,M108,C02034,2026-10-01 22:43:01,6719.01,INR,SUCCESS,POS
T2000028,M103,C01299,2026-10-01 19:37:59,11232.82,INR,SUCCESS,ONLINE
T2000029,M108,C01528,2026-10-01 17:52:54,5314.64,INR,SUCCESS,POS
T2000030,M114,C00735,2026-10-01 07:58:07,13417.00,INR,FAILED,POS
T2000031,M108,C02774,2026-10-01 09:44:44,386.87,INR,SUCCESS,ONLINE
T2000032,M114,C01495,2026-10-01 16:56:19,1663.76,INR,FAILED,ONLINE
T2000033,M118,C00574,2026-10-01 19:06:07,14533.44,INR,SUCCESS,QR
T2000034,M104,C01851,2026-10-01 21:42:18,4317.86,INR,SUCCESS,POS
T2000035,M106,C02102,2026-10-01 18:11:04,1420.68,INR,SUCCESS,ONLINE
T2000036,M100,C01389,2026-10-01 18:59:22,2771.52,INR,SUCCESS,QR
T2000037,M120,C02548,2026-10-01 14:43:50,562.11,INR,SUCCESS,ONLINE
T2000038,M105,C02772,2026-10-01 20:47:12,3331.63,INR,SUCCESS,QR
T2000039,M100,C02189,2026-10-01 13:34:27,3886.13,INR,FAILED,POS
T2000040,M122,C02528,2026-10-01 13:07:03,1572.58,INR,SUCCESS,POS
T2000041,M111,C02159,2026-10-01 20:58:25,3166.08,INR,SUCCESS,QR
T2000042,M121,C00368,2026-10-01 11:00:36,26391.05,INR,SUCCESS,POS
T2000043,M122,C01255,2026-10-01 12:57:31,2287.90,INR,SUCCESS,ONLINE
T2000044,M111,C00959,2026-10-01 12:06:05,3431.20,INR,SUCCESS,ONLINE
T2000045,M104,C02362,2026-10-01 09:24:36,2699.56,INR,SUCCESS,QR
T2000046,M114,C01655,2026-10-01 12:03:39,4627.64,INR,SUCCESS,ONLINE
