settlement_id,transaction_id,settlement_ts,settlement_amount,settlement_status,settlement_batch
S1000001,T1000001,2026-09-01 20:02:53,3027.38,SETTLED,SB20260901PM
S1000002,T1000001,2026-09-01 20:06:53,756.84,SETTLED,SB20260901PM
S1000003,T1000002,2026-09-01 19:35:44,83519.53,SETTLED,SB20260901PM
S1000004,T1000003,2026-09-01 13:19:10,10607.49,SETTLED,SB20260901PM
S1000005,T1000004,2026-09-01 23:53:58,22793.18,SETTLED,SB20260901PM
S1000006,T1000005,2026-09-01 09:20:02,12313.43,SETTLED,SB20260901AM
S1000007,T1000005,2026-09-01 09:24:02,3078.36,SETTLED,SB20260901AM
S1000008,T1000007,2026-09-01 22:41:46,7519.39,SETTLED,SB20260901PM
S1000009,T1000008,2026-09-01 15:57:09,17445.61,SETTLED,SB20260901PM
S1000010,T1000010,2026-09-01 21:43:29,15500.52,SETTLED,SB20260901PM
S1000011,T1000012,2026-09-01 17:26:29,4501.24,SETTLED,SB20260901PM
S1000012,T1000013,2026-09-01 06:51:45,53809.57,SETTLED,SB20260901AM
S1000013,T1000015,2026-09-02 01:07:14,25289.96,SETTLED,SB20260902AM
S1000014,T1000016,2026-09-01 19:33:01,10107.56,SETTLED,SB20260901PM
S1000015,T1000017,2026-09-01 09:43:02,23756.53,SETTLED,SB20260901AM
S1000016,T1000017,2026-09-01 09:47:02,5939.13,SETTLED,SB20260901AM
S1000017,T1000018,2026-09-01 10:04:49,37266.24,SETTLED,SB20260901AM
S1000018,T1000019,2026-09-01 19:40:09,2156.11,SETTLED,SB20260901PM
S1000019,T1000020,2026-09-01 10:56:05,25245.90,SETTLED,SB20260901AM
S1000020,T1000021,2026-09-01 12:19:16,23138.19,SETTLED,SB20260901PM
S1000021,T1000022,2026-09-01 18:46:25,48274.31,SETTLED,SB20260901PM
S1000022,T1000023,2026-09-01 19:12:36,39744.17,SETTLED,SB20260901PM
S1000023,T1000024,2026-09-01 15:46:50,35064.29,SETTLED,SB20260901PM
S1000024,T1000025,2026-09-01 15:07:43,2031.86,SETTLED,SB20260901PM
S1000025,T1000026,2026-09-01 07:32:22,3622.73,SETTLED,SB20260901AM
S1000026,T1000027,2026-09-01 19:27:31,9862.55,SETTLED,SB20260901PM
S1000027,T1000028,2026-09-01 10:35:46,361.96,SETTLED,SB20260901AM
S1000028,T1000029,2026-09-01 20:22:18,4264.31,SETTLED,SB20260901PM
S1000029,T1000030,2026-09-01 19:24:23,72937.61,SETTLED,SB20260901PM
S1000030,T1000031,2026-09-01 11:44:33,39074.63,SETTLED,SB20260901AM
S1000031,T1000033,2026-09-01 07:46:21,1663.50,SETTLED,SB20260901AM
S1000032,T1000034,2026-09-01 08:27:44,2669.12,SETTLED,SB20260901AM
S1000033,T1000035,2026-09-01 12:37:09,14116.87,SETTLED,SB20260901PM
S1000034,T1000035,2026-09-01 12:41:09,3529.22,SETTLED,SB20260901PM
S1000035,T1000036,2026-09-01 13:18:49,5582.18,SETTLED,SB20260901PM
S1000036,T1000037,2026-09-01 22:13:27,79375.68,SETTLED,SB20260901PM
S1000037,T1000039,2026-09-01 15:38:12,4906.29,SETTLED,SB20260901PM
S1000038,T1000041,2026-09-01 20:13:25,3368.15,SETTLED,SB20260901PM
S1000039,T1000041,2026-09-01 20:17:25,842.04,SETTLED,SB20260901PM
S1000040,T1000042,2026-09-01 19:06:36,2998.59,SETTLED,SB20260901PM
