transaction_id,merchant_id,customer_id,transaction_ts,amount,currency,status,payment_channel
T1000001,M100,C01546,2026-09-01 19:58:53,3784.22,INR,SUCCESS,QR
T1000002,M121,C00414,2026-09-01 18:41:44,83519.53,INR,SUCCESS,ONLINE
T1000003,M107,C00024,2026-09-01 13:10:10,10607.49,INR,SUCCESS,ONLINE
T1000004,M118,C00169,2026-09-01 23:46:58,22793.18,INR,SUCCESS,ONLINE
T1000005,M118,C00825,2026-09-01 09:02:02,15391.79,INR,SUCCESS,QR
T1000006,M117,C02218,2026-09-01 19:33:25,7996.96,INR,SUCCESS,POS
T1000007,M112,C00391,2026-09-01 22:20:46,7519.39,INR,SUCCESS,QR
T1000008,M117,C01854,2026-09-01 15:45:09,17445.61,INR,SUCCESS,POS
T1000009,M104,C01788,2026-09-01 20:49:15,2958.10,INR,FAILED,QR
T1000010,M108,C00685,2026-09-01 21:37:29,15500.52,INR,SUCCESS,ONLINE
T1000011,M121,C02066,2026-09-01 11:05:29,51405.48,INR,FAILED,ONLINE
T1000012,M104,C00509,2026-09-01 15:49:29,4501.24,INR,SUCCESS,ONLINE
T1000013,M118,C02525,2026-09-01 06:42:45,53809.57,INR,SUCCESS,POS
T1000014,M101,C01423,2026-09-01 17:12:25,74266.53,INR,FAILED,POS
T1000015,M121,C00122,2026-09-01 22:26:14,25289.96,INR,SUCCESS,POS
T1000016,M107,C02534,2026-09-01 19:14:01,10107.56,INR,SUCCESS,ONLINE
T1000017,M109,C01119,2026-09-01 09:19:02,29695.66,INR,SUCCESS,POS
T1000018,M112,C02348,2026-09-01 09:47:49,37266.24,INR,SUCCESS,ONLINE
T1000019,M116,C02303,2026-09-01 19:29:09,2156.11,INR,SUCCESS,ONLINE
T1000020,M101,C02704,2026-09-01 10:36:05,25245.90,INR,SUCCESS,POS
T1000021,M101,C01237,2026-09-01 12:11:16,23138.19,INR,SUCCESS,QR
